X,Y,Name,description,altitudeMode,ADDRESS,PKNRD,LONGNAME,LINES,STATION_ID,POINT_X,POINT_Y,ADA,GTFS,Field_1,Latitude,Longitude,Accuracy Score,Zip
-87.65492939,41.95377495,Sheridan,,clampToGround,3940 N. Sheridan Road,No,Sheridan,Red Line,80,1168782.699,1926475.826,Not ADA  Accessible,40080,Sheridan,41.953757,-87.654883,1,60613
-87.63088602,41.88573699,Clark/Lake,,clampToGround,100 W. Lake,No,Clark/Lake,"Brown, Orange, Pink, Purple (Express), Green, Blue",380,1175525.859,1901735.366,ADA Accessible,40380,Clark/Lake,41.885552,-87.63045,1,60601
-87.63141229,41.90392031,Clark/Division,,clampToGround,1200 N. Clark Street,No,Clark/Division,Red Line,630,1175328.346,1908360.2,ADA Accessible,40630,Clark/Division,41.903784,-87.631679,1,60610
-87.69072952,42.07315276,Linden,,clampToGround,349 W. Linden Avenue,Yes,Linden,"Purple Line, Evanston Express",1050,1158718.091,1969902.899,ADA Accessible,41050,Linden,42.072772,-87.690254,1,60091
-87.63397336,41.88896793,Merchandise Mart,,clampToGround,350 N. Wells Street,No,Merchandise Mart,"Brown, Purple (Express)",460,1174675.578,1902905.856,ADA Accessible,40460,Merchandise Mart,41.889336,-87.634259,1,60654
-87.66360956,41.94381226,Southport,,clampToGround,3411 N. Southport Avenue,No,Southport,Brown Line,360,1166449.963,1922826.818,ADA Accessible,40360,Southport,41.943781,-87.663565,1,60657
-87.6275961,41.87815276,Jackson,,clampToGround,230 S. State,No,Jackson/State,Red Line,560,1176444.434,1898979.028,ADA Accessible,40560,Jackson,41.878036,-87.628044,1,60604
-87.8593877,41.98350729,Rosemont,,clampToGround,5801 N. River Road,Yes,Rosemont,Blue Line,820,1113107.88,1936936.482,ADA Accessible,40820,Rosemont,41.983602,-87.859438,1,60018
-87.66649607,41.90335508,Division,,clampToGround,1200 N. Milwaukee Avenue,No,Division/Milwaukee,Blue Line,320,1165779.324,1908078.036,Not ADA  Accessible,40320,Division,41.903134,-87.666567,1,60642
-87.63100045,41.78053433,63rd,,clampToGround,220 W. 63rd Street,No,63rd-Dan Ryan,Red Line,910,1175808.133,1863399.657,ADA Accessible,40910,63rd,41.78045,-87.631303,1,60621
-87.62146281,41.8218152,Indiana,,clampToGround,4003 S. Indiana Avenue,No,Indiana,Green Line,300,1178284.914,1878463.562,ADA Accessible,40300,Indiana,41.82182,-87.62154,1,60653
-87.7446984,41.88651935,Cicero,,clampToGround,4800 W. Lake Street,No,Cicero-Lake,Green Line (Lake),480,1144532.748,1901787.326,ADA Accessible,40480,Cicero,41.886861,-87.744688,1,60644
-87.63373998,41.87872328,Quincy/Wells,,clampToGround,220 S. Wells Street,No,Quincy/Wells,"Brown, Orange, Pink, Purple (Express)",40,1174769.559,1899173.229,ADA Accessible,40040,Quincy/Wells,41.878707,-87.633794,1,60606
-87.65852996,41.97345332,Argyle,,clampToGround,1118 W. Argyle Street,No,Argyle,Red Line,1200,1167746.828,1933638.977,Not ADA  Accessible,41200,Argyle,41.973424,-87.658573,1,60640
-87.67495574,41.95452314,Irving Park,,clampToGround,1816 W. Irving Park Dr,No,Irving Park-Ravenswood,Brown Line,1460,1163333.209,1926705.985,ADA Accessible,41460,Irving Park,41.954437,-87.675052,1,60613
-87.65945551,41.87588563,Racine,,clampToGround,430 S. Racine Avenue,No,Racine,Blue Line,470,1167774.556,1898083.158,Not ADA  Accessible,40470,Racine,41.875889,-87.659434,1,60607
